id	btype	title	author	year	journal	volume	number	pages	booktitle	publisher	school	doi	url
DBLP:journals/corr/abs-2109-00062	article	Shallow Pooling for Sparse Labels	Negar Arabzadeh and Alexandra Vtyurina and Xinyi Yan and Charles Clarke	2021	ArXiv	abs/2109.00062							https://arxiv.org/abs/2109.00062
DBLP:journals/corr/abs-2109-10739	article	Predicting Efficiency/Effectiveness Trade-Offs for Dense vs. Sparse Retrieval Strategy Selection	Negar Arabzadeh and Xinyi Yan and Charles Clarke	2021	ArXiv	abs/2109.10739							https://arxiv.org/abs/2109.10739
DBLP:journals/cacm/SakrBVIAAAABBDV21	article	The Future Is Big Graphs: A Community View on Graph Processing Systems	Sherif Sakr and Angela Bonifati and Hannes Voigt and Alexandru Iosup and Khaled Ammar and Renzo Angles and Walid G. Aref and Marcelo Arenas and Maciej Besta and Peter A. Boncz and Khuzaima Daudjee and Emanuele Della Valle and Stefania Dumbrava and Olaf Hartig and Bernhard Haslhofer and Tim Hegeman and Jan Hidders and Katja Hose and Adriana Iamnitchi and Vasiliki Kalavri and Hugo Kapp and Wim Martens and Tamer Özsu and Eric Peukert and Stefan Plantikow and Mohamed Ragab and Matei Ripeanu and Semih Salihoglu and Christian Schulz and Petra Selmer and Juan F. Sequeda and Joshua Shinavier and Gábor Szárnyas and Riccardo Tommasini and Antonino Tumeo and Alexandru Uta and Ana Lucia Varbanescu and Hsiang-Yun Wu and Nikolay Yakovets and Da Yan and Eiko Yoneki	2021	Communications of the ACM	64	9	62--71				10.1145/3434642	https://doi.org/10.1145/3434642
DBLP:conf/desires/AnandZDXL21	inproceedings	Serverless BM25 Search and BERT Reranking	Mayank Anand and Jiarui Zhang and Shane Ding and Ji Xin and Jimmy Lin	2021					Conference on Design of Experimental Search & Information Retrieval Systems (DESIRES)				http://ceur-ws.org/Vol-2950/paper-01.pdf
DBLP:conf/desires/LinMMM21	inproceedings	On the Separation of Logical and Physical Ranking Models for Text Retrieval Applications	Jimmy Lin and Xueguang Ma and Joel Mackenzie and Antonio Mallia	2021					Conference on Design of Experimental Search & Information Retrieval Systems (DESIRES)				http://ceur-ws.org/Vol-2950/paper-26.pdf
DBLP:conf/ictir/HanLL21	inproceedings	The Simplest Thing That Can Possibly Work: (Pseudo-)Relevance Feedback Via Text Classification	Xiao Han and Yuqi Liu and Jimmy Lin	2021					International Conference on the Theory of Information Retrieval (ICTIR)			10.1145/3471158.3472261	https://doi.org/10.1145/3471158.3472261
DBLP:journals/corr/abs-2109-01628	article	Cross-Lingual Training With Dense Retrieval for Document Retrieval	Peng Shi and Rui Zhang and He Bai and Jimmy Lin	2021	ArXiv	abs/2109.01628							https://arxiv.org/abs/2109.01628
DBLP:conf/dlog/TomanW21	inproceedings	FO Rewritability for OMQ Using Beth Definability and Interpolation	David Toman and Grant Weddell	2021					International Workshop on Description Logics (DL)				http://ceur-ws.org/Vol-2954/paper-29.pdf
DBLP:conf/clef/NgFKT20	inproceedings	Dowsing for Math Answers	Yin Ki Ng and Dallas J. Fraser and Besat Kassaie and Frank Tompa	2021					Conference and Labs of the Evaluation Forum (CLEF)			10.1007/978-3-030-85251-1_16	https://doi.org/10.1007/978-3-030-85251-1_16
