id	btype	title	author	year	journal	volume	number	pages	booktitle	publisher	school	doi	url
DBLP:conf/wsdm/0001SRC22	inproceedings	Translating Human Mobility Forecasting Through Natural Language Generation	Hao Xue and Flora D. Salim and Yongli Ren and Charles Clarke	2022					Web Search and Data Mining (WSDM)			10.1145/3488560.3498387	https://doi.org/10.1145/3488560.3498387
DBLP:conf/edm/ChopraG21	inproceedings	Analyzing Ranking Strategies to Characterize Competition for Co-Operative Work Placements	Shivangi Chopra and Lukasz Golab	2021					Educational Data Mining (EDM)				
DBLP:conf/edm/ParsaG21	inproceedings	Academic Integrity in Online Education During the COVID-19 Pandemic: A Social Media Mining Study	Mohammad S. Parsa and Lukasz Golab	2021					Educational Data Mining (EDM)				
DBLP:conf/fab/MitraGGK21	inproceedings	TimeFabric: Trusted Time for Permissioned Blockchains	Aritra Mitra and Christian Gorenflo and Lukasz Golab and Srinivasan Keshav	2021					International Symposium on Foundations and Applications of Blockchain (FAB) 			10.4230/OASIcs.FAB.2021.4	https://doi.org/10.4230/OASIcs.FAB.2021.4
DBLP:journals/pvldb/SuriIRR21	article	Ember: No-Code Context Enrichment via Similarity-Based Keyless Joins	Sahaana Suri and Ihab Ilyas and Christopher Ré and Theodoros Rekatsinas	2021	Proceedings of the VLDB Endowment (PVLDB)	15	3	699--712					http://www.vldb.org/pvldb/vol15/p699-suri.pdf
DBLP:conf/wsdm/DevinsTL22	inproceedings	Aligning the Research and Practice of Building Search Applications: Elasticsearch and Pyserini	Josh Devins and Julie Tibshirani and Jimmy Lin	2022					Web Search and Data Mining (WSDM)			10.1145/3488560.3502186	https://doi.org/10.1145/3488560.3502186
DBLP:journals/corr/abs-2201-11086	article	Can Old TREC Collections Reliably Evaluate Modern Neural Retrieval Models?	Ellen M. Voorhees and Ian Soboroff and Jimmy Lin	2022	ArXiv	abs/2201.11086							https://arxiv.org/abs/2201.11086
DBLP:journals/debu/Ozsu20	article	A Systematic View of Data Science	Tamer Özsu	2020	IEEE Data Engineering Bulletin	43	3	3--11					http://sites.computer.org/debull/A20sept/p3.pdf
DBLP:journals/corr/abs-2202-01281	article	An Experience Report of Executive-Level Artificial Intelligence Education In the United Arab Emirates	David Johnson and Mohammad Alsharid and Rasheed El-Bouri and Nigel Mehdi and Farah Shamout and Alexandre Szenicer and David Toman and Saqr Binghalib	2022	ArXiv	abs/2202.01281							https://arxiv.org/abs/2202.01281
