id	btype	title	author	year	journal	volume	number	pages	booktitle	publisher	school	doi	url
DBLP:journals/corr/abs-2304-09161	article	Perspectives on Large Language Models for Relevance Judgment	Guglielmo Faggioli and Laura Dietz and Charles Clarke and Gianluca Demartini and Matthias Hagen and Claudia Hauff and Noriko Kando and Evangelos Kanoulas and Martin Potthast and Benno Stein and Henning Wachsmuth	2023	ArXiv	abs/2304.09161						10.48550/arXiv.2304.09161	https://doi.org/10.48550/arXiv.2304.09161
DBLP:conf/edbt/FernandoBD23	inproceedings	An Experimental Analysis of Quantile Sketches Over Data Streams	Lasantha Fernando and Harsh Bindra and Khuzaima Daudjee	2023					International Conference on Extending Database Technology (EDBT)			10.48786/edbt.2023.34	https://doi.org/10.48786/edbt.2023.34
DBLP:journals/corr/abs-2304-01926	article	High-Throughput Vector Similarity Search in Knowledge Graphs	Jason Mohoney and Anil Pacaci and Shihabur Rahman Chowdhury and Ali Mousavi and Ihab Ilyas and Umar Farooq Minhas and Jeffrey Pound and Theodoros Rekatsinas	2023	ArXiv	abs/2304.01926						10.48550/arXiv.2304.01926	https://doi.org/10.48550/arXiv.2304.01926
DBLP:journals/corr/abs-2304-01019	article	Simple Yet Effective Neural Ranking and Reranking Baselines for Cross-Lingual Information Retrieval	Jimmy Lin and David Alfonso-Hermelo and Vitor Jeronymo and Ehsan Kamalloo and Carlos Lassance and Rodrigo Frassetto Nogueira and Odunayo Ogundepo and Mehdi Rezagholizadeh and Nandan Thakur and Jheng-Hong Yang and Xinyu Zhang	2023	ArXiv	abs/2304.01019						10.48550/arXiv.2304.01019	https://doi.org/10.48550/arXiv.2304.01019
DBLP:journals/corr/abs-2304-01961	article	AToMiC: An Image/Text Retrieval Test Collection to Support Multimedia Content Creation	Jheng-Hong Yang and Carlos Lassance and Rafael Sampaio de Rezende and Krishna Srinivasan and Miriam Redi and Stéphane Clinchant and Jimmy Lin	2023	ArXiv	abs/2304.01961						10.48550/arXiv.2304.01961	https://doi.org/10.48550/arXiv.2304.01961
DBLP:conf/adcs/LiZMLZ22	inproceedings	Pseudo-Relevance Feedback With Dense Retrievers in Pyserini	Hang Li and Shengyao Zhuang and Xueguang Ma and Jimmy Lin and Guido Zuccon	2022					Australasian Document Computing Symposium (ADCS)			10.1145/3572960.3572982	https://doi.org/10.1145/3572960.3572982
DBLP:conf/emnlp/TangKYPMBEMTL22	inproceedings	SpeechNet: Weakly Supervised, End-to-End Speech Recognition at Industrial Scale	Raphael Tang and Karun Kumar and Gefei Yang and Akshat Pandey and Yajie Mao and Vladislav Belyaev and Madhuri Emmadi and G. Craig Murray and Ferhan Ture and Jimmy Lin	2022					Conference on Empirical Methods in Natural Language Processing (EMNLP)				https://aclanthology.org/2022.emnlp-industry.29
DBLP:conf/emnlp/ZhongXVMLLBS22	inproceedings	Improving Precancerous Case Characterization via Transformer-Based Ensemble Learning	Yizhen Zhong and Jiajie Xiao and Thomas Vetterli and Mahan Matin and Ellen Loo and Jimmy Lin and Richard Bourgon and Ofer Shapira	2022					Conference on Empirical Methods in Natural Language Processing (EMNLP)				https://aclanthology.org/2022.emnlp-industry.38
DBLP:conf/acl-louhi/PradeepMNL21	inproceedings	Scientific Claim Verification With VerT5erini	Ronak Pradeep and Xueguang Ma and Rodrigo Frassetto Nogueira and Jimmy Lin	2021					International Workshop on Health Text Mining and Information Analysis (Louhi)				https://www.aclweb.org/anthology/2021.louhi-1.11/
DBLP:journals/corr/abs-2303-13844	article	Efficient Execution of SPARQL Queries With OPTIONAL and UNION Expressions	Lei Zou and Yue Pang and Tamer Özsu and Jiaqi Chen	2023	ArXiv	abs/2303.13844						10.48550/arXiv.2303.13844	https://doi.org/10.48550/arXiv.2303.13844
DBLP:conf/chi/LiuUZS23	inproceedings	Governor: Turning Open Government Data Portals Into Interactive Databases	Chang Liu and Arif Usta and Jian Zhao and Semih Salihoglu	2023					ACM Conference on Human Factors in Computing Systems (CHI)			10.1145/3544548.3580868	https://doi.org/10.1145/3544548.3580868
