id	btype	title	author	year	journal	volume	number	pages	booktitle	publisher	school	doi	url
DBLP:journals/corr/abs-2208-04882	article	Unsupervised Question Clarity Prediction Through Retrieved Item Coherency	Negar Arabzadeh and Mahsa Seifikar and Charles Clarke	2022	ArXiv	abs/2208.04882						10.48550/arXiv.2208.04882	https://doi.org/10.48550/arXiv.2208.04882
DBLP:journals/corr/abs-2208-04887	article	Early Stage Sparse Retrieval With Entity Linking	Dahlia Shehata and Negar Arabzadeh and Charles Clarke	2022	ArXiv	abs/2208.04887						10.48550/arXiv.2208.04887	https://doi.org/10.48550/arXiv.2208.04887
DBLP:journals/corr/abs-2208-06955	article	Continuous Active Learning Using Pretrained Transformers	Nima Sadri and Gordon Cormack	2022	ArXiv	abs/2208.06955						10.48550/arXiv.2208.06955	https://doi.org/10.48550/arXiv.2208.06955
DBLP:journals/jdiq/ZhengZLCGSB22	article	Contextual Data Cleaning With Ontology Functional Dependencies	Zheng Zheng and Longtao Zheng and Morteza Alipour Langouri and Fei Chiang and Lukasz Golab and Jaroslaw Szlichta and Sridevi Baskaran	2022	Journal of Data and Information Quality	14	3	20:1--20:26				10.1145/3524303	https://doi.org/10.1145/3524303
DBLP:conf/icde/KaregarMGGKSS22	inproceedings	Discovering Domain Orders via Order Dependencies	Reza Karegar and Melicaalsadat Mirsafian and Parke Godfrey and Lukasz Golab and Mehdi Kargar and Divesh Srivastava and Jaroslaw Szlichta	2022					IEEE International Conference on Data Engineering (ICDE)			10.1109/ICDE53745.2022.00087	https://doi.org/10.1109/ICDE53745.2022.00087
DBLP:journals/jdiq/IlyasR22	article	Machine Learning and Data Cleaning: Which Serves the Other?	Ihab Ilyas and Theodoros Rekatsinas	2022	Journal of Data and Information Quality	14	3	13:1--13:11				10.1145/3506712	https://doi.org/10.1145/3506712
DBLP:conf/clef/Zhong0L22	inproceedings	Applying Structural and Dense Semantic Matching for the ARQMath Lab 2022, Clef	Wei Zhong and Yuqing Xie and Jimmy Lin	2022					Conference and Labs of the Evaluation Forum (CLEF)				http://ceur-ws.org/Vol-3180/paper-09.pdf
DBLP:journals/corr/abs-2208-00483	article	Building an Efficiency Pipeline: Commutativity and Cumulativeness Of Efficiency Operators for Transformers	Ji Xin and Raphael Tang and Zhiying Jiang and Yaoliang Yu and Jimmy Lin	2022	ArXiv	abs/2208.00483						10.48550/arXiv.2208.00483	https://doi.org/10.48550/arXiv.2208.00483
DBLP:journals/corr/abs-2208-00511	article	Aggretriever: A Simple Approach to Aggregate Textual Representation For Robust Dense Passage Retrieval	Sheng-Chieh Lin and Minghan Li and Jimmy Lin	2022	ArXiv	abs/2208.00511						10.48550/arXiv.2208.00511	https://doi.org/10.48550/arXiv.2208.00511
DBLP:journals/sigmod/Ozsu22	article	Reminiscences on Influential Papers	Tamer Özsu	2022	SIGMOD Record	51	2	44--46				10.1145/3552490.3552499	https://doi.org/10.1145/3552490.3552499
DBLP:journals/tkde/LiZOZ22	article	Space-Efficient Subgraph Search Over Streaming Graph With Timing Order Constraint	Youhuan Li and Lei Zou and Tamer Özsu and Dongyan Zhao	2022	IEEE Transactions on Knowledge and Data Engineering (TKDE)	34	9	4453--4467				10.1109/TKDE.2020.3035902	https://doi.org/10.1109/TKDE.2020.3035902
DBLP:conf/icde/PengOZYL22	inproceedings	MPC: Minimum Property-Cut RDF Graph Partitioning	Peng Peng and Tamer Özsu and Lei Zou and Cen Yan and Chengjun Liu	2022					IEEE International Conference on Data Engineering (ICDE)			10.1109/ICDE53745.2022.00019	https://doi.org/10.1109/ICDE53745.2022.00019
DBLP:conf/icde/PacaciBO22	inproceedings	Evaluating Complex Queries on Streaming Graphs	Anil Pacaci and Angela Bonifati and Tamer Özsu	2022					IEEE International Conference on Data Engineering (ICDE)			10.1109/ICDE53745.2022.00025	https://doi.org/10.1109/ICDE53745.2022.00025
DBLP:conf/icde/ChenXOTZL22	inproceedings	Exploiting Hierarchical Parallelism and Reusability in Tensor Kernel Processing on Heterogeneous HPC Systems	Yuedan Chen and Guoqing Xiao and Tamer Özsu and Zhuo Tang and Albert Y. Zomaya and Kenli Li	2022					IEEE International Conference on Data Engineering (ICDE)			10.1109/ICDE53745.2022.00234	https://doi.org/10.1109/ICDE53745.2022.00234
DBLP:journals/corr/abs-2208-00273	article	Optimizing Differentially-Maintained Recursive Queries on Dynamic Graphs	Khaled Ammar and Siddhartha Sahu and Semih Salihoglu and Tamer Özsu	2022	ArXiv	abs/2208.00273						10.48550/arXiv.2208.00273	https://doi.org/10.48550/arXiv.2208.00273
DBLP:phd/us/Salihoglu15	phdthesis	Massive-Scale Processing of Record-Oriented and Graph Data	Semih Salihoglu	2015							Stanford University, USA		https://searchworks.stanford.edu/view/11371692
DBLP:conf/clef/KaneNT22	inproceedings	Dowsing for Answers to Math Questions: Doing Better With Less	Andrew Kane and Yin Ki Ng and Frank Tompa	2022					Conference and Labs of the Evaluation Forum (CLEF)				http://ceur-ws.org/Vol-3180/paper-03.pdf
DBLP:phd/ca/Weddell85	phdthesis	Physical Design and Query Compilation for a Semantic Data Model (Assuming Memory Residence)	Grant Weddell	1985							University of Toronto, Canada		https://librarysearch.library.utoronto.ca/permalink/01UTORONTO_INST/14bjeso/alma991106343514106196
