id	btype	title	author	year	journal	volume	number	pages	booktitle	publisher	school	doi	url
DBLP:conf/wsdm/Clarke0A23	inproceedings	Preference-Based Offline Evaluation	Charles Clarke and Fernando Diaz and Negar Arabzadeh	2023					Web Search and Data Mining (WSDM)			10.1145/3539597.3572725	https://doi.org/10.1145/3539597.3572725
DBLP:journals/sigir/YamamotoDKCKL22	article	Report on the 16th Round of NII Testbeds and Community for Information Access Research (NTCIR-16)	Takehiro Yamamoto and Zhicheng Dou and Noriko Kando and Charles Clarke and Makoto P. Kato and Yiqun Liu	2022	SIGIR Forum	56	2	7:1--7:8				10.1145/3582900.3582911	https://doi.org/10.1145/3582900.3582911
DBLP:journals/corr/abs-2301-10871	article	Qualitative Analysis of a Graph Transformer Approach to Addressing Hate Speech: Adapting to Dynamically Changing Content	Liam Hebert and Hong Yi Chen and Robin Cohen and Lukasz Golab	2023	ArXiv	abs/2301.10871						10.48550/arXiv.2301.10871	https://doi.org/10.48550/arXiv.2301.10871
DBLP:journals/corr/abs-2302-04983	article	CREDENCE: Counterfactual Explanations for Document Ranking	Joel Rorseth and Parke Godfrey and Lukasz Golab and Mehdi Kargar and Divesh Srivastava and Jaroslaw Szlichta	2023	ArXiv	abs/2302.04983						10.48550/arXiv.2302.04983	https://doi.org/10.48550/arXiv.2302.04983
DBLP:conf/ecir/PradeepCGTL23	inproceedings	PyGaggle: A Gaggle of Resources for Open-Domain Question Answering	Ronak Pradeep and Haonan Chen and Lingwei Gu and Manveer Singh Tamber and Jimmy Lin	2023					European Conference on Information Retrieval (ECIR)			10.1007/978-3-031-28241-6_10	https://doi.org/10.1007/978-3-031-28241-6_10
DBLP:conf/ecir/TamberPL23	inproceedings	Pre-Processing Matters! Improved Wikipedia Corpora for Open-Domain Question Answering	Manveer Singh Tamber and Ronak Pradeep and Jimmy Lin	2023					European Conference on Information Retrieval (ECIR)			10.1007/978-3-031-28241-6_11	https://doi.org/10.1007/978-3-031-28241-6_11
DBLP:journals/corr/abs-2302-06587	article	SLIM: Sparsified Late Interaction for Multi-Vector Retrieval With Inverted Indexes	Minghan Li and Sheng-Chieh Lin and Xueguang Ma and Jimmy Lin	2023	ArXiv	abs/2302.06587						10.48550/arXiv.2302.06587	https://doi.org/10.48550/arXiv.2302.06587
DBLP:journals/corr/abs-2302-06589	article	Improving Out-of-Distribution Generalization of Neural Rerankers With Contextualized Late Interaction	Xinyu Zhang and Minghan Li and Jimmy Lin	2023	ArXiv	abs/2302.06589						10.48550/arXiv.2302.06589	https://doi.org/10.48550/arXiv.2302.06589
DBLP:journals/corr/abs-2302-07452	article	How to Train Your DRAGON: Diverse Augmentation Towards Generalizable Dense Retrieval	Sheng-Chieh Lin and Akari Asai and Minghan Li and Barlas Oguz and Jimmy Lin and Yashar Mehdad and Wen-tau Yih and Xilun Chen	2023	ArXiv	abs/2302.07452						10.48550/arXiv.2302.07452	https://doi.org/10.48550/arXiv.2302.07452
DBLP:journals/corr/abs-2302-14534	article	Spacerini: Plug-and-Play Search Engines With Pyserini and Hugging Face	Christopher Akiki and Odunayo Ogundepo and Aleksandra Piktus and Xinyu Zhang and Akintunde Oladipo and Jimmy Lin and Martin Potthast	2023	ArXiv	abs/2302.14534						10.48550/arXiv.2302.14534	https://doi.org/10.48550/arXiv.2302.14534
DBLP:conf/IEEEpact/DurvasulaKMXLV22	inproceedings	VoxelCache: Accelerating Online Mapping in Robotics and 3D Reconstruction Tasks	Sankeerth Durvasula and Raymond Kiguru and Samarth Mathur and Jenny Xu and Jimmy Lin and Nandita Vijaykumar	2022					International Conference on Parallel Architectures and Compilation Techniques (PACT)			10.1145/3559009.3569675	https://doi.org/10.1145/3559009.3569675
DBLP:conf/emnlp/LiZX0L22	inproceedings	Certified Error Control of Candidate Set Pruning for Two-Stage Relevance Ranking	Minghan Li and Xinyu Zhang and Ji Xin and Hongyang Zhang and Jimmy Lin	2022					Conference on Empirical Methods in Natural Language Processing (EMNLP)				https://aclanthology.org/2022.emnlp-main.23
DBLP:conf/emnlp/ZhongY0L22	inproceedings	Evaluating Token-Level and Passage-Level Dense Retrieval Models For Math Information Retrieval	Wei Zhong and Jheng-Hong Yang and Yuqing Xie and Jimmy Lin	2022					Conference on Empirical Methods in Natural Language Processing (EMNLP)				https://aclanthology.org/2022.findings-emnlp.78
DBLP:conf/emnlp/0010Z0L22	inproceedings	XRICL: Cross-Lingual Retrieval-Augmented in-Context Learning For Cross-Lingual Text-to-SQL Semantic Parsing	Peng Shi and Rui Zhang and He Bai and Jimmy Lin	2022					Conference on Empirical Methods in Natural Language Processing (EMNLP)				https://aclanthology.org/2022.findings-emnlp.384
DBLP:conf/emnlp/0010SJM0LY22	inproceedings	Cross-Lingual Text-to-SQL Semantic Parsing With Representation Mixup	Peng Shi and Linfeng Song and Lifeng Jin and Haitao Mi and He Bai and Jimmy Lin and Dong Yu	2022					Conference on Empirical Methods in Natural Language Processing (EMNLP)				https://aclanthology.org/2022.findings-emnlp.388
DBLP:conf/emnlp/OgundepoZSDL22	inproceedings	AfriCLIRMatrix: Enabling Cross-Lingual Information Retrieval for African Languages	Odunayo Ogundepo and Xinyu Zhang and Shuo Sun and Kevin Duh and Jimmy Lin	2022					Conference on Empirical Methods in Natural Language Processing (EMNLP)				https://aclanthology.org/2022.emnlp-main.597
DBLP:journals/corr/abs-2301-13761	article	Data Science: A Systematic Treatment	Tamer Özsu	2023	ArXiv	abs/2301.13761						10.48550/arXiv.2301.13761	https://doi.org/10.48550/arXiv.2301.13761
