id	btype	title	author	year	journal	volume	number	pages	booktitle	publisher	school	doi	url
DBLP:conf/sigir/YanLCCVC22	inproceedings	Human Preferences as Dueling Bandits	Xinyi Yan and Chengxi Luo and Charles Clarke and Nick Craswell and Ellen M. Voorhees and Pablo Castells	2022					International Conference on Research and Development in Information Retrieval (SIGIR)			10.1145/3477495.3531991	https://doi.org/10.1145/3477495.3531991
DBLP:journals/is/ArtikisTGS22	article	Editorial	Alexander Artikis and Nesime Tatbul and Lukasz Golab and Mohammad Sadoghi	2022	Information Systems	109		102088				10.1016/j.is.2022.102088	https://doi.org/10.1016/j.is.2022.102088
DBLP:conf/um/ChambersCGC22	inproceedings	Creating a User Model to Support User-Specific Explanations of AI Systems	Owen Chambers and Robin Cohen and Maura Grossman and Queenie Chen	2022					User Modeling, Adaptation, and Personalization (UMAP)			10.1145/3511047.3537678	https://doi.org/10.1145/3511047.3537678
DBLP:conf/aaai/MohapatraSH0022	inproceedings	The Role of Adaptive Optimizers for Honest Private Hyperparameter Selection	Shubhankar Mohapatra and Sajin Sasy and Xi He and Gautam Kamath and Om Thakkar	2022					AAAI Conference on Artificial Intelligence (AAAI)				https://ojs.aaai.org/index.php/AAAI/article/view/20749
DBLP:conf/sigir/PradeepLWL22	inproceedings	Neural Query Synthesis and Domain-Specific Ranking Templates for Multi-Stage Clinical Trial Matching	Ronak Pradeep and Yilin Li and Yuetong Wang and Jimmy Lin	2022					International Conference on Research and Development in Information Retrieval (SIGIR)			10.1145/3477495.3531853	https://doi.org/10.1145/3477495.3531853
DBLP:conf/sigir/LiWZMMLZ22	inproceedings	To Interpolate or Not to Interpolate: PRF, Dense and Sparse Retrievers	Hang Li and Shuai Wang and Shengyao Zhuang and Ahmed Mourad and Xueguang Ma and Jimmy Lin and Guido Zuccon	2022					International Conference on Research and Development in Information Retrieval (SIGIR)			10.1145/3477495.3531884	https://doi.org/10.1145/3477495.3531884
DBLP:conf/sigir/LiuHL22	inproceedings	Another Look at Information Retrieval as Statistical Translation	Yuqi Liu and Chengcheng Hu and Jimmy Lin	2022					International Conference on Research and Development in Information Retrieval (SIGIR)			10.1145/3477495.3531717	https://doi.org/10.1145/3477495.3531717
DBLP:conf/sigir/LinCC0Y22	inproceedings	Fostering Coopetition While Plugging Leaks: The Design and Implementation Of the MS MARCO Leaderboards	Jimmy Lin and Daniel Campos and Nick Craswell and Bhaskar Mitra and Emine Yilmaz	2022					International Conference on Research and Development in Information Retrieval (SIGIR)			10.1145/3477495.3531725	https://doi.org/10.1145/3477495.3531725
DBLP:conf/sigir/VoorheesCL22	inproceedings	Too Many Relevants: Whither Cranfield Test Collections?	Ellen M. Voorhees and Nick Craswell and Jimmy Lin	2022					International Conference on Research and Development in Information Retrieval (SIGIR)			10.1145/3477495.3531728	https://doi.org/10.1145/3477495.3531728
DBLP:conf/sigir/MaPNL22	inproceedings	Document Expansion Baselines and Learned Sparse Lexical Representations For MS MARCO V1 and V2	Xueguang Ma and Ronak Pradeep and Rodrigo Nogueira and Jimmy Lin	2022					International Conference on Research and Development in Information Retrieval (SIGIR)			10.1145/3477495.3531749	https://doi.org/10.1145/3477495.3531749
DBLP:conf/sigir/TrotmanMPL22	inproceedings	A Common Framework for Exploring Document-at-a-Time and Score-at-a-Time Retrieval Methods	Andrew Trotman and Joel Mackenzie and Pradeesh Parameswaran and Jimmy Lin	2022					International Conference on Research and Development in Information Retrieval (SIGIR)			10.1145/3477495.3531657	https://doi.org/10.1145/3477495.3531657
DBLP:conf/sigir/SeltzerCZL22	inproceedings	Flipping the Script: Inverse Information Seeking Dialogues for Market Research	Josh Seltzer and Kathy Cheng and Shi Zong and Jimmy Lin	2022					International Conference on Research and Development in Information Retrieval (SIGIR)			10.1145/3477495.3536326	https://doi.org/10.1145/3477495.3536326
DBLP:journals/corr/abs-2207-03027	article	The Case for Distributed Shared-Memory Databases With RDMA-Enabled Memory Disaggregation	Ruihong Wang and Jianguo Wang and Stratos Idreos and Tamer Özsu and Walid G. Aref	2022	ArXiv	abs/2207.03027						10.48550/arXiv.2207.03027	https://doi.org/10.48550/arXiv.2207.03027
DBLP:conf/sigir/ZhangTAS22	inproceedings	Learning Trustworthy Web Sources to Derive Correct Answers and Reduce Health Misinformation in Search	Dake Zhang and Amir Vakili Tahami and Mustafa Abualsaud and Mark Smucker	2022					International Conference on Research and Development in Information Retrieval (SIGIR)			10.1145/3477495.3531812	https://doi.org/10.1145/3477495.3531812
DBLP:conf/cec/AshlockSW99	inproceedings	Graph Based Genetic Algorithms	Dan Ashlock and Mark Smucker and John Walker	1999					IEEE Congress on Evolutionary Computation (CEC)			10.1109/CEC.1999.782611	https://doi.org/10.1109/CEC.1999.782611
DBLP:conf/aaai/TomanW22	inproceedings	First Order Rewritability in Ontology-Mediated Querying in Horn Description Logics	David Toman and Grant Weddell	2022					AAAI Conference on Artificial Intelligence (AAAI)				https://ojs.aaai.org/index.php/AAAI/article/view/20534
DBLP:conf/aaai/JohnsonAEMSSTB22	inproceedings	An Experience Report of Executive-Level Artificial Intelligence Education In the United Arab Emirates	David Johnson and Mohammad Alsharid and Rasheed El-Bouri and Nigel Mehdi and Farah Shamout and Alexandre Szenicer and David Toman and Saqr Binghalib	2022					AAAI Conference on Artificial Intelligence (AAAI)				https://ojs.aaai.org/index.php/AAAI/article/view/21555
