id	btype	title	author	year	journal	volume	number	pages	booktitle	publisher	school	doi	url
DBLP:journals/pvldb/LiuKTDH21	article	Catch a Blowfish Alive: A Demonstration of Policy-Aware Differential Privacy for Interactive Data Exploration	Jiaxiang Liu and Karl Knopf and Yiqing Tan and Bolin Ding and Xi He	2021	Proceedings of the VLDB Endowment (PVLDB)	14	12	2859--2862					http://www.vldb.org/pvldb/vol14/p2859-liu.pdf
DBLP:conf/acl/BaiSLTXGLL21	inproceedings	Semantics of the Unwritten: The Effect of End of Paragraph and Sequence Tokens on Text Generation With GPT2	He Bai and Peng Shi and Jimmy Lin and Luchen Tan and Kun Xiong and Wen Gao and Jie Liu and Ming Li	2021					Association for Computational Linguistics (ACL)				https://aclanthology.org/2021.acl-srw.16
DBLP:conf/clef/ZhongZXZL21	inproceedings	Approach Zero and Anserini at the CLEF-2021 ARQMath Track: Applying Substructure Search and BM25 on Operator Tree Path Tokens	Wei Zhong and Xinyu Zhang and Ji Xin and Richard Zanibbi and Jimmy Lin	2021					Conference and Labs of the Evaluation Forum (CLEF)				http://ceur-ws.org/Vol-2936/paper-09.pdf
DBLP:journals/pvldb/GuptaMS21	article	Columnar Storage and List-Based Processing for Graph Database Management Systems	Pranjal Gupta and Amine Mhedhbi and Semih Salihoglu	2021	Proceedings of the VLDB Endowment (PVLDB)	14	11	2491--2504					http://www.vldb.org/pvldb/vol14/p2491-gupta.pdf
DBLP:journals/corr/abs-2108-10540	article	Making RDBMSs Efficient on Graph Workloads Through Predefined Joins	Guodong Jin and Semih Salihoglu	2021	ArXiv	abs/2108.10540							https://arxiv.org/abs/2108.10540
DBLP:conf/clef/NgFKT21	inproceedings	Dowsing for Answers to Math Questions: Ongoing Viability of Traditional MathIR	Yin Ki Ng and Dallas J. Fraser and Besat Kassaie and Frank Tompa	2021					Conference and Labs of the Evaluation Forum (CLEF)				http://ceur-ws.org/Vol-2936/paper-05.pdf
