id	btype	title	author	year	journal	volume	number	pages	booktitle	publisher	school	doi	url
DBLP:journals/corr/abs-2112-11481	article	Translating Human Mobility Forecasting Through Natural Language Generation	Hao Xue and Flora D. Salim and Yongli Ren and Charles Clarke	2021	ArXiv	abs/2112.11481							https://arxiv.org/abs/2112.11481
DBLP:journals/tkde/KargarGSSZ22	article	Effective Keyword Search Over Weighted Graphs	Mehdi Kargar and Lukasz Golab and Divesh Srivastava and Jaroslaw Szlichta and Morteza Zihayat	2022	IEEE Transactions on Knowledge and Data Engineering (TKDE)	34	2	601--616				10.1109/TKDE.2020.2985376	https://doi.org/10.1109/TKDE.2020.2985376
DBLP:conf/icccrea/BrownBG21	inproceedings	Are Machine Learning Corpora "Fair Dealing" Under Canadian Law?	Daniel G. Brown and Lauren Byl and Maura Grossman	2021					International Conference on Computational Creativity (ICCC)				https://computationalcreativity.net/iccc21/wp-content/uploads/2021/09/ICCC_2021_paper_68.pdf
DBLP:journals/corr/abs-2201-05964	article	Visualizing Privacy-Utility Trade-Offs in Differentially Private Data Releases	Priyanka Nanayakkara and Johes Bater and Xi He and Jessica Hullman and Jennie Rogers	2022	ArXiv	abs/2201.05964							https://arxiv.org/abs/2201.05964
DBLP:series/synthesis/2021LinNY	book	Pretrained Transformers for Text Ranking: BERT and Beyond	Jimmy Lin and Rodrigo Nogueira and Andrew Yates	2021						Morgan & Claypool		10.2200/S01123ED1V01Y202108HLT053	https://doi.org/10.2200/S01123ED1V01Y202108HLT053
DBLP:journals/corr/abs-2112-04666	article	Densifying Sparse Representations for Passage Retrieval by Representational Slicing	Sheng-Chieh Lin and Jimmy Lin	2021	ArXiv	abs/2112.04666							https://arxiv.org/abs/2112.04666
DBLP:journals/corr/abs-2112-06400	article	Improving Query Representations for Dense Retrieval With Pseudo Relevance Feedback: A Reproducibility Study	Hang Li and Shengyao Zhuang and Ahmed Mourad and Xueguang Ma and Jimmy Lin and Guido Zuccon	2021	ArXiv	abs/2112.06400							https://arxiv.org/abs/2112.06400
DBLP:journals/corr/abs-2112-09628	article	Sparsifying Sparse Representations for Passage Retrieval by Top-K Masking	Jheng-Hong Yang and Xueguang Ma and Jimmy Lin	2021	ArXiv	abs/2112.09628							https://arxiv.org/abs/2112.09628
DBLP:journals/tkdd/SheshboloukiO22	article	sGrapp: Butterfly Approximation in Streaming Graphs	Aida Sheshbolouki and Tamer Özsu	2022	ACM Transactions on Knowledge Discovery from Data	16	4	76:1--76:43				10.1145/3495011	https://doi.org/10.1145/3495011
