id	btype	title	author	year	journal	volume	number	pages	booktitle	publisher	school	doi	url
DBLP:conf/cikm/ArabzadehYC21	inproceedings	Predicting Efficiency/Effectiveness Trade-Offs for Dense vs. Sparse Retrieval Strategy Selection	Negar Arabzadeh and Xinyi Yan and Charles Clarke	2021					International Conference on Information and Knowledge Management (CIKM)			10.1145/3459637.3482159	https://doi.org/10.1145/3459637.3482159
DBLP:conf/cikm/NemecDGKLMSZ21	inproceedings	RW-Team: Robust Team Formation Using Random Walk	John Nemec and Heidar Davoudi and Lukasz Golab and Mehdi Kargar and Yuliya Lytvyn and Piotr Mierzejewski and Jaroslaw Szlichta and Morteza Zihayat	2021					International Conference on Information and Knowledge Management (CIKM)			10.1145/3459637.3481969	https://doi.org/10.1145/3459637.3481969
DBLP:conf/sigmod/XiaCKHT021	inproceedings	DPGraph: A Benchmark Platform for Differentially Private Graph Analysis	Siyuan Xia and Beizhen Chang and Karl Knopf and Yihan He and Yuchao Tao and Xi He	2021					ACM International Conference on Management of Data (SIGMOD)			10.1145/3448016.3452756	https://doi.org/10.1145/3448016.3452756
DBLP:journals/corr/abs-2110-14465	article	Unbiased Statistical Estimation and Valid Confidence Intervals Under Differential Privacy	Christian Covington and Xi He and James Honaker and Gautam Kamath	2021	ArXiv	abs/2110.14465							https://arxiv.org/abs/2110.14465
DBLP:journals/corr/abs-2111-04906	article	The Role of Adaptive Optimizers for Honest Private Hyperparameter Selection	Shubhankar Mohapatra and Sajin Sasy and Xi He and Gautam Kamath and Om Thakkar	2021	ArXiv	abs/2111.04906							https://arxiv.org/abs/2111.04906
DBLP:journals/tois/LinYNTWL21	article	Multi-Stage Conversational Passage Retrieval: An Approach to Fusing Term Importance Estimation and Neural Query Rewriting	Sheng-Chieh Lin and Jheng-Hong Yang and Rodrigo Nogueira and Ming-Feng Tsai and Chuan-Ju Wang and Jimmy Lin	2021	ACM Transactions on Information Systems (TOIS)	39	4	48:1--48:29				10.1145/3446426	https://doi.org/10.1145/3446426
DBLP:conf/emnlp/LiLXL21	inproceedings	Multi-Task Dense Retrieval via Model Uncertainty Fusion for Open-Domain Question Answering	Minghan Li and Ming Li and Kun Xiong and Jimmy Lin	2021					Conference on Empirical Methods in Natural Language Processing (EMNLP)				https://aclanthology.org/2021.findings-emnlp.26
DBLP:conf/emnlp/TangKCXZLYMSML21	inproceedings	Voice Query Auto Completion	Raphael Tang and Karun Kumar and Kendra Chalkley and Ji Xin and Liming Zhang and Wenyan Li and Gefei Yang and Yajie Mao and Junho Shin and Geoffrey Craig Murray and Jimmy Lin	2021					Conference on Empirical Methods in Natural Language Processing (EMNLP)				https://aclanthology.org/2021.emnlp-main.68
DBLP:conf/emnlp/LinYL21	inproceedings	Contextualized Query Embeddings for Conversational Search	Sheng-Chieh Lin and Jheng-Hong Yang and Jimmy Lin	2021					Conference on Empirical Methods in Natural Language Processing (EMNLP)				https://aclanthology.org/2021.emnlp-main.77
DBLP:conf/emnlp/MaLSXL21	inproceedings	Simple and Effective Unsupervised Redundancy Elimination to Compress Dense Vectors for Passage Retrieval	Xueguang Ma and Minghan Li and Kai Sun and Ji Xin and Jimmy Lin	2021					Conference on Empirical Methods in Natural Language Processing (EMNLP)				https://aclanthology.org/2021.emnlp-main.227
DBLP:conf/emnlp/DeshmukhZLLM21	inproceedings	Unsupervised Chunking as Syntactic Structure Induction With a Knowledge-Transfer Approach	Anup Anand Deshmukh and Qianqiu Zhang and Ming Li and Jimmy Lin and Lili Mou	2021					Conference on Empirical Methods in Natural Language Processing (EMNLP)				https://aclanthology.org/2021.findings-emnlp.307
DBLP:journals/corr/abs-2111-12217	article	Scale-Invariant Strength Assortativity of Streaming Butterflies	Aida Sheshbolouki and Tamer Özsu	2021	ArXiv	abs/2111.12217							https://arxiv.org/abs/2111.12217
DBLP:conf/kr/TomanW21	inproceedings	Projective Beth Definability and Craig Interpolation for Relational Query Optimization (Material to Accompany Invited Talk)	David Toman and Grant Wedell	2021					International Conference on Principles of Knowledge Representation and Reasoning (KR)				http://ceur-ws.org/Vol-3009/invited1.pdf
