id	btype	title	author	year	journal	volume	number	pages	booktitle	publisher	school	doi	url
DBLP:journals/sigir/KatoLKC21	article	Report on the 15th Round of NII Testbeds and Community for Information Access Research (NTCIR-15)	Makoto P. Kato and Yiqun Liu and Noriko Kando and Charles Clarke	2021	SIGIR Forum	55	2	21:1--21:6				10.1145/3527546.3527570	https://doi.org/10.1145/3527546.3527570
DBLP:journals/dpd/HerodotouCCHDWC22	article	Introduction to the special issue on self‑managing and hardware‑optimized database systems 2020	Herodotos Herodotou and Panos K. Chrysanthis and Shimin Chen and Meichun Hsu and Khuzaima Daudjee and Yingjun Wu and Constantinos Costa	2022	Distributed and Parallel Databases	40	1	1--3				10.1007/s10619-021-07335-0	https://doi.org/10.1007/s10619-021-07335-0
DBLP:conf/cascon/DaudjeeT94	inproceedings	A Technique for Automatically Organizing Software Libraries for Software Reuse	Khuzaima Daudjee and Anestis A. Toptsis	1994					Conference of the Centre for Advanced Studies on Collaborative Research (CASCON)				https://dl.acm.org/citation.cfm?id=782197
DBLP:conf/edbt/VezvaeiGKSSZ22	inproceedings	Fine-Tuning Dependencies With Parameters	Alireza Vezvaei and Lukasz Golab and Mehdi Kargar and Divesh Srivastava and Jaroslaw Szlichta and Morteza Zihayat	2022					International Conference on Extending Database Technology (EDBT)			10.48786/edbt.2022.28	https://dx.doi.org/10.48786/edbt.2022.28
DBLP:journals/corr/abs-2203-09742	article	GRS: Combining Generation and Revision in Unsupervised Sentence Simplification	Mohammad Dehghan and Dhruv Kumar and Lukasz Golab	2022	ArXiv	abs/2203.09742						10.48550/arXiv.2203.09742	https://doi.org/10.48550/arXiv.2203.09742
DBLP:journals/popets/NanayakkaraB0HR22	article	Visualizing Privacy-Utility Trade-Offs in Differentially Private Data Releases	Priyanka Nanayakkara and Johes Bater and Xi He and Jessica Hullman and Jennie Rogers	2022	Proceedings on Privacy Enhancing Technologies (PoPETs)	2022	2	601--618				10.2478/popets-2022-0058	https://doi.org/10.2478/popets-2022-0058
DBLP:conf/ecir/LiZMMLZ22	inproceedings	Improving Query Representations for Dense Retrieval With Pseudo Relevance Feedback: A Reproducibility Study	Hang Li and Shengyao Zhuang and Ahmed Mourad and Xueguang Ma and Jimmy Lin and Guido Zuccon	2022					European Conference on Information Retrieval (ECIR)			10.1007/978-3-030-99736-6_40	https://doi.org/10.1007/978-3-030-99736-6_40
DBLP:conf/ecir/MaSPLL22	inproceedings	Another Look at DPR: Reproduction of Training and Replication Of Retrieval	Xueguang Ma and Kai Sun and Ronak Pradeep and Minghan Li and Jimmy Lin	2022					European Conference on Information Retrieval (ECIR)			10.1007/978-3-030-99736-6_41	https://doi.org/10.1007/978-3-030-99736-6_41
DBLP:conf/ecir/PradeepLZLYL22	inproceedings	Squeezing Water From a Stone: A Bag of Tricks for Further Improving Cross-Encoder Effectiveness for Reranking	Ronak Pradeep and Yuqi Liu and Xinyu Zhang and Yilin Li and Andrew Yates and Jimmy Lin	2022					European Conference on Information Retrieval (ECIR)			10.1007/978-3-030-99736-6_44	https://doi.org/10.1007/978-3-030-99736-6_44
DBLP:journals/corr/abs-2203-05765	article	Tevatron: An Efficient and Flexible Toolkit for Dense Retrieval	Luyu Gao and Xueguang Ma and Jimmy Lin and Jamie Callan	2022	ArXiv	abs/2203.05765						10.48550/arXiv.2203.05765	https://doi.org/10.48550/arXiv.2203.05765
DBLP:journals/corr/abs-2203-11163	article	Evaluating Token-Level and Passage-Level Dense Retrieval Models For Math Information Retrieval	Wei Zhong and Jheng-Hong Yang and Jimmy Lin	2022	ArXiv	abs/2203.11163						10.48550/arXiv.2203.11163	https://doi.org/10.48550/arXiv.2203.11163
DBLP:journals/corr/abs-2204-02363	article	Towards Best Practices for Training Multilingual Dense Retrieval Models	Xinyu Zhang and Kelechi Ogueji and Xueguang Ma and Jimmy Lin	2022	ArXiv	abs/2204.02363						10.48550/arXiv.2204.02363	https://doi.org/10.48550/arXiv.2204.02363
DBLP:journals/sigir/Lin21	article	A Proposed Conceptual Framework for a Representational Approach To Information Retrieval	Jimmy Lin	2021	SIGIR Forum	55	2	4:1--4:29				10.1145/3527546.3527552	https://doi.org/10.1145/3527546.3527552
DBLP:journals/vldb/YanGKOKL22	article	G-Thinker: A General Distributed Framework for Finding Qualified Subgraphs In a Big Graph With Load Balancing	Da Yan and Guimu Guo and Jalal Khalil and Tamer Özsu and Wei-Shinn Ku and John C. S. Lui	2022	The VLDB Journal	31	2	287--320				10.1007/s00778-021-00688-z	https://doi.org/10.1007/s00778-021-00688-z
DBLP:conf/chiir/AbualsaudS22	inproceedings	The Dark Side of Relevance: The Effect of Non-Relevant Results On Search Behavior	Mustafa Abualsaud and Mark Smucker	2022					Conference on Human Information Interaction and Retrieval (CHIIR)			10.1145/3498366.3505770	https://doi.org/10.1145/3498366.3505770
